name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
melbourne,2024-04-30,58.8,50.8,54.5,58.8,50.8,54.5,45.9,73.4,0.002,100,4.17,rain,0,0,23.3,8.7,157.7,1030.6,71.1,10.3,85.7,7.5,8,10,2024-04-30T07:00:22,2024-04-30T17:34:00,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-05-01,62.5,46.5,54,62.5,46,53.9,47.7,80.8,0,0,0,rain,0,0,18.1,16.1,182.6,1031.7,35.1,7.6,137.1,11.8,6,10,2024-05-01T07:01:16,2024-05-01T17:32:52,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"YMAV,95874099999,94866099999,C7520,95936099999,95866099999,94865099999,YMML,94864099999"
melbourne,2024-05-02,61.3,45.2,51.9,61.3,41.5,50.9,47.8,86.9,0.001,100,4.17,rain,0,0,11,8.4,248.2,1031.6,47.3,7.7,107.9,9.4,6,10,2024-05-02T07:02:10,2024-05-02T17:31:45,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"YMAV,95874099999,94866099999,C7520,95936099999,YMML,95866099999,94865099999,94864099999"
melbourne,2024-05-03,62,43.6,52,62,40.9,51.2,47.4,85.3,0,0,0,,0,0,13,5.6,52.6,1028.9,59.4,7.6,106.2,9.1,5,10,2024-05-03T07:03:04,2024-05-03T17:30:39,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-05-04,60.6,43.7,50.4,60.6,42.2,50.1,47.6,90.9,0.001,100,4.17,rain,0,0,13.6,4.7,28.8,1025.8,79.2,7.9,81.4,6.9,6,10,2024-05-04T07:03:58,2024-05-04T17:29:34,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-05-05,63,48,55.6,63,48,55.6,51,85,0,0,0,,0,0,21.3,8.1,164.5,1026.9,70,8.2,85,7.2,6,10,2024-05-05T07:04:52,2024-05-05T17:28:30,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-05-06,66.2,49.4,56.5,66.2,49.4,56.5,50.7,82.6,0,0,0,,0,0,17.9,8.1,162.2,1031.4,38.6,9.2,120.6,10.6,7,10,2024-05-06T07:05:45,2024-05-06T17:27:28,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-05-07,60.2,47.7,53.8,60.2,45.2,53.6,50.3,89,0,0,0,,0,0,12.3,6,296.2,1031.5,47,7.3,125.5,10.8,5,10,2024-05-07T07:06:39,2024-05-07T17:26:27,0.96,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"95874099999,94866099999,C7520,95936099999,95866099999,94865099999,94864099999"
melbourne,2024-05-08,64.2,50.8,56.2,64.2,50.8,56.2,51.2,84.2,0,0,0,,0,0,10.1,6.3,291.3,1031.1,62.4,6.8,126,10.9,5,10,2024-05-08T07:07:32,2024-05-08T17:25:28,0,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"YMAV,95874099999,94866099999,C7520,95936099999,94895599999,95866099999,94865099999,YMML,94864099999"
melbourne,2024-05-09,61.2,48.4,55.2,61.2,48.4,55.2,53.4,94.1,0,0,0,rain,0,0,13.2,4.7,236.7,1030.5,81.8,5.6,61.5,5.3,3,10,2024-05-09T07:08:25,2024-05-09T17:24:29,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"94860099999,95874099999,94866099999,95936099999,95866099999,94872099999,94898099999,95867099999,C7520,94865099999,94864099999,94854099999,94870099999"
